Date,Ticker,FinalScore,TechnicalScore,FundamentalScore,SentimentScore,MacroScore,DerivativesScore,Regime
2026-06-15,TCS,53.2,15,76,72.38592567033682,64,55,BEAR
2026-06-15,INFYS,53.1,30,74,68.73228554289724,64,55,BEAR
2026-06-15,HDFCBANK,60.9,39,74,74.02377197872693,74,75,BEAR
2026-06-15,ICICIBANK,68.3,79,87,74.25781453477356,74,75,BEAR
2026-06-15,SBIN,66.9,76,77,77.87790707726562,82,75,BEAR
2026-06-15,ITC,49.1,34,76,46.675935603134064,71,55,BEAR
2026-06-15,HINDUNILVR,46.1,31,63,35.2278068094022,71,75,BEAR
2026-06-15 21:53:59.982187,TATAMOTORS,59.7,72,78,59.12389043142779,74,75,BEAR
2026-06-15,MARUTI,62.4,76,63,69.24154401750464,81,75,BEAR
2026-06-15,SUNPHARMA,54.9,47,74,81.0688321965127,79,55,BEAR
2026-06-15,CIPLA,53.5,40,70,77.96277398837566,79,55,BEAR
2026-06-15,TATASTEEL,41.6,28,57,54.19068691934381,71,35,BEAR
2026-06-15,JSWSTEEL,50.1,61,52,65.52529001978816,86,55,BEAR
2026-06-15,LT,57.8,85,53,73.08945553962653,81,80,BEAR
2026-06-15,RELIANCE,47.1,17,62,48.87899063051558,71,75,BEAR
2026-06-15,RELIANCE,47.1,17,62,48.87899063051558,71,75,BEAR
2026-06-15,RELIANCE,47.1,17,62,48.87899063051558,71,75,BEAR
2026-06-15,RELIANCE,47.1,17,62,48.87899063051558,71,75,BEAR
2026-06-15,RELIANCE,47.1,17,62,48.87899063051558,71,75,BEAR
2026-06-15,TCS,54.1,12,76,72.38592567033682,64,55,BEAR
2026-06-15,TCS,54.1,12,76,72.38592567033682,64,55,BEAR
2026-06-15,TCS,54.1,12,76,72.38592567033682,64,55,BEAR
2026-06-15,TCS,54.1,12,76,72.38592567033682,64,55,BEAR
2026-06-15,TCS,54.1,12,76,72.38592567033682,64,55,BEAR
2026-06-15,INFYS,52.2,26,74,68.73228554289724,64,45,BEAR
2026-06-15,INFYS,52.2,26,74,68.73228554289724,64,45,BEAR
2026-06-15,INFYS,52.2,26,74,68.73228554289724,64,45,BEAR
2026-06-15,INFYS,52.2,26,74,68.73228554289724,64,45,BEAR
2026-06-15,INFYS,52.2,26,74,68.73228554289724,64,45,BEAR
2026-06-15,RELIANCE,47.1,17,62,48.87899063051558,71,75,BEAR
2026-06-15,HDFCBANK,62.7,39,74,74.02377197872693,74,75,BEAR
2026-06-15,HDFCBANK,62.7,39,74,74.02377197872693,74,75,BEAR
2026-06-15,RELIANCE,47.1,17,62,48.87899063051558,71,75,BEAR
2026-06-15,HDFCBANK,62.7,39,74,74.02377197872693,74,75,BEAR
2026-06-15,HDFCBANK,62.7,39,74,74.02377197872693,74,75,BEAR
2026-06-15,HDFCBANK,62.7,39,74,74.02377197872693,74,75,BEAR
2026-06-15,TCS,54.1,12,76,72.38592567033682,64,55,BEAR
2026-06-15,ICICIBANK,66.9,75,87,74.25781453477356,74,75,BEAR
2026-06-15,ICICIBANK,66.9,75,87,74.25781453477356,74,75,BEAR
2026-06-15,TCS,54.1,12,76,72.38592567033682,64,55,BEAR
2026-06-15,ICICIBANK,66.9,75,87,74.25781453477356,74,75,BEAR
2026-06-15,ICICIBANK,66.9,75,87,74.25781453477356,74,75,BEAR
2026-06-15,ICICIBANK,66.9,75,87,74.25781453477356,74,75,BEAR
2026-06-15,INFYS,52.8,26,74,68.73228554289724,64,55,BEAR
2026-06-15,SBIN,66.9,76,77,77.87790707726562,82,75,BEAR
2026-06-15,SBIN,66.9,76,77,77.87790707726562,82,75,BEAR
2026-06-15,INFYS,52.8,26,74,68.73228554289724,64,55,BEAR
2026-06-15,SBIN,66.9,76,77,77.87790707726562,82,75,BEAR
2026-06-15,SBIN,66.9,76,77,77.87790707726562,82,75,BEAR
2026-06-15,SBIN,66.9,76,77,77.87790707726562,82,75,BEAR
2026-06-15,HDFCBANK,62.7,39,74,74.02377197872693,74,75,BEAR
2026-06-15,ITC,48.2,31,76,46.675935603134064,71,75,BEAR
2026-06-15,ITC,48.2,31,76,46.675935603134064,71,75,BEAR
2026-06-15,HDFCBANK,62.7,39,74,74.02377197872693,74,75,BEAR
2026-06-15,ITC,48.2,31,76,46.675935603134064,71,75,BEAR
2026-06-15,ITC,48.2,31,76,46.675935603134064,71,75,BEAR
2026-06-15,ITC,48.2,31,76,46.675935603134064,71,75,BEAR
2026-06-15,ICICIBANK,66.9,75,87,74.25781453477356,74,75,BEAR
2026-06-15,HINDUNILVR,44.8,31,63,35.2278068094022,71,55,BEAR
2026-06-15,HINDUNILVR,44.8,31,63,35.2278068094022,71,55,BEAR
2026-06-15,ICICIBANK,66.9,75,87,74.25781453477356,74,75,BEAR
2026-06-15,HINDUNILVR,44.8,31,63,35.2278068094022,71,55,BEAR
2026-06-15,HINDUNILVR,44.8,31,63,35.2278068094022,71,55,BEAR
